Year,Period,Agriculture,CropProduction,Livestock,Forestry,Fishing,Industry,MiningAndQuarrying,CrudePetroleumAndNaturalGas,CoalMining,MetalOres,QuarryingAndOtherMinerals,Manufacturing,OilRefining,Cement,FoodBeverageAndTobacco,TextileApparelAndFootwear,WoodAndWoodProducts,PulpPaperAndPaperProducts,ChemicalAndPharmaceuticalProducts,NonMetallicProducts,PlasticAndRubberProducts,ElectricalAndElectronics,BasicMetalIronAndSteel,MotorVehiclesAndAssembly,OtherManufacturing,ElectricityGasSteamAndAirCon,WaterSupplySewageWaste,Construction,Services,Trade,AccommodationAndFoodServices,TransportationAndStorage,RoadTransport,RailTransportAndPipelines,WaterTransport,AirTransport,TransportServices,PostAndCourierServices,InformationAndCommunication,Publishing,MotionPicturesSoundRecordingAndMusicProduction,Broadcasting,ArtsEntertainmentAndRecreation,FinanceAndInsurance,FinancialInstitutions,Insurance,RealEstate,ProfessionalScientificAndTechnicalServices,AdministrativeAndSupportServicesBusinessServices,PublicAdministration,Education,HumanHealthAndSocialServices,OtherServices,GDPatCurrentBasicPrices,NetTaxesOnProducts,GDPatCurrentMarketPrices
1992,Annual,184.12,153.38,23.03,2.99,4.72,341.66,149.81,142.98,5.56,0.34,0.93,159.95,2.01,9.96,104.54,16.03,5.61,1.11,1.14,2.71,1.54,0.11,3.34,1,10.85,2.53,6.82,22.55,371.34,120.51,1.63,13.54,9.03,0.4,0.95,1.93,0.22,1.01,38.6,0.33,1.62,35.21,0.1,57.35,48.99,8.37,19.45,11.24,0.09,68.16,25.48,12.14,3.04,897.12,8.91,906.03
1993,Annual,295.32,249.2,36.58,3.97,5.59,417.06,144.69,140.25,2.9,0.33,1.22,231.02,1.94,12.89,152.48,23.39,8.19,1.62,1.67,3.95,2.25,0.17,4.64,1.45,16.39,2.64,9.1,29.6,532.41,195.09,2.63,21.89,15.2,0.55,1.39,2.82,0.36,1.56,47.91,0.48,2.72,42.92,0.18,61.66,52.73,8.93,30.41,13.45,0.1,99.23,37.09,17.67,5.1,1244.8,12.38,1257.17
1994,Annual,445.27,377.31,54.3,5.98,7.68,553.96,132.9,126.92,4.02,0.4,1.57,370.16,1.78,14.71,249.85,38.32,13.41,2.65,2.74,6.47,3.68,0.27,7.01,2.38,26.89,3.05,9.74,38.11,752.05,306.41,4.29,41.1,33.46,0.03,1.32,3.81,0.9,1.59,53.54,0.79,6.73,44.21,0.43,47.53,40.68,6.86,89.47,18.09,0.14,114.96,42.97,20.47,12.64,1751.28,17.51,1768.79
1995,Annual,790.14,670.18,97.2,8.25,14.51,1132.84,448.11,444.02,1.45,0.55,2.1,619.85,6.46,18.76,417.22,63.99,22.4,4.42,4.57,10.81,6.15,0.45,12.95,3.97,47.7,3.17,10.82,50.88,1146.45,529.87,5.86,62.17,52.37,0.02,1.52,4.64,1.91,1.7,65.04,1.32,14.31,47.12,0.92,77.1,66.12,10.97,150.73,21.58,0.17,132.83,49.65,23.65,26.88,3069.43,30.8,3100.24
1996,Annual,1070.51,906.89,130.41,10.37,22.84,1530.05,675.58,670.74,1.78,0.63,2.44,780.48,10.16,20.55,525.94,80.67,28.23,5.57,5.76,13.63,7.75,0.57,16.89,5.01,59.77,3.3,11.46,59.22,1444.76,690.7,7.19,79.7,68,0.03,1.72,5.26,2.83,1.86,77.81,1.67,21.21,52.18,1.37,109.22,88.91,20.31,197.61,28.81,0.22,136.8,51.13,24.36,39.85,4045.32,40.74,4086.07
1997,Annual,1211.46,1026.29,145.03,12.55,27.59,1557.54,624.63,619.22,1.96,0.6,2.85,848.33,9.09,23.29,571.78,87.7,30.69,6.06,6.26,14.81,8.42,0.62,19.13,5.45,65.03,3.29,11.98,69.31,1605.49,758.97,9.26,92.04,78.16,0.03,1.94,6.37,3.52,2.02,91.37,1.81,26.33,60.01,1.7,116.67,100.3,16.37,219.71,32.19,0.25,148.15,55.38,30.36,49.46,4374.5,44.21,4418.71
1998,Annual,1341.04,1133.39,158.31,15.88,33.46,1379.2,433.2,426.8,2.01,0.61,3.78,838.53,6.08,22.65,564.31,86.55,30.29,5.98,6.18,14.62,8.31,0.62,20.53,5.37,67.03,3.16,12.47,91.83,2036.47,859.83,10.51,116.87,101.03,0.04,2.03,6.82,4.74,2.21,110.11,1.79,35.54,69.31,2.29,134.49,115.83,18.66,320.44,38.01,0.29,242.86,90.78,43.25,66.74,4756.71,48.45,4805.16
1999,Annual,1426.97,1204.7,164.37,19.31,38.59,1609.82,600.46,593.44,2.2,0.65,4.18,891.29,9.56,24.06,599.01,91.88,32.15,6.35,6.56,15.52,8.82,0.65,22,5.7,69.01,3.27,13.19,101.62,2389.68,939.5,12.51,138.31,119.14,0.04,2.13,7.69,6.84,2.46,137.31,1.9,51.27,80.4,3.31,148.44,127.8,20.64,433.52,47.71,0.37,278.64,104.15,49.62,96.29,5426.47,55.88,5482.35
2000,Annual,1508.41,1270.63,172.19,24.49,41.1,2388.83,1274.48,1266.67,2.48,0.69,4.64,984.08,18.19,25.61,659.9,101.21,35.42,6.99,7.23,17.1,9.72,0.72,22.58,6.28,73.13,3.38,13.92,112.97,3093.38,1020.39,13.94,154.39,130.5,0.04,2.31,9.2,8.63,3.71,163.54,2.09,64.61,92.75,4.17,165.29,141.95,23.34,537.31,57.47,0.44,551,205.95,98.12,121.35,6990.62,72.13,7062.75
2001,Annual,2015.42,1699.69,228.56,29.98,57.2,2328.41,975.78,966.79,2.24,0.67,6.07,1146.68,57.43,32.13,745.75,114.38,40.03,7.9,8.17,19.32,10.99,0.81,23.64,7.1,79.04,41.07,14.47,150.4,3806.19,1243.26,17.32,173.06,145.79,0.05,2.53,10.53,9.96,4.21,255.2,2.36,81.37,119.46,5.25,205.18,176.32,28.86,604.83,68.56,0.53,696.05,260.17,123.95,152.83,8150.02,84.48,8234.49
