Year,Period,Agriculture,CropProduction,Livestock,Forestry,Fishing,Industry,MiningAndQuarrying,CrudePetroleumAndNaturalGas,CoalMining,MetalOres,QuarryingAndOtherMinerals,Manufacturing,OilRefining,Cement,FoodBeverageAndTobacco,TextileApparelAndFootwear,WoodAndWoodProducts,PulpPaperAndPaperProducts,ChemicalAndPharmaceuticalProducts,NonMetallicProducts,PlasticAndRubberProducts,ElectricalAndElectronics,BasicMetalIronAndSteel,MotorVehiclesAndAssembly,OtherManufacturing,ElectricityGasSteamAndAirCon,WaterSupplySewageWaste,Construction,Services,Trade,AccommodationAndFoodServices,TransportationAndStorage,RoadTransport,RailTransportAndPipelines,WaterTransport,AirTransport,TransportServices,PostAndCourierServices,InformationAndCommunication,Publishing,MotionPicturesSoundRecordingAndMusicProduction,Broadcasting,ArtsEntertainmentAndRecreation,FinanceAndInsurance,FinancialInstitutions,Insurance,RealEstate,ProfessionalScientificAndTechnicalServices,AdministrativeAndSupportServicesBusinessServices,PublicAdministration,Education,HumanHealthAndSocialServices,OtherServices,GDPatCurrentBasicPrices,NetTaxesOnProducts,GDPatCurrentMarketPrices
2014,Q1,3479.96,2950.44,375.07,46.25,108.22,5657.62,2636.13,2612.07,2.06,1.16,20.84,2114.53,91.95,144.28,1010.56,465.96,57.52,14.06,32.46,63.66,53.15,1.35,45.91,17.2,116.46,122.53,18.76,765.66,11032.2,3663.74,195.08,238.23,204.77,0.03,1.09,18.21,8.56,5.57,2142.09,5.03,244.65,288.4,43.65,708.22,625.72,82.5,1483.91,735.9,4.3,609.22,387.19,137.75,682.9,20169.78,212.13,20381.9
2014,Q2,3745.27,3223.24,361.15,52.52,108.36,5777.52,2656.63,2633.33,2.07,1.4,19.84,2122.92,100.32,147.12,1037.03,439.3,59.1,14.57,40.31,63.13,54.86,1.39,47.36,16.34,102.1,111.7,26.72,859.55,12212.03,3767.4,160.13,312.48,268.5,0.08,2.07,19.68,15.75,6.41,2844.11,5.58,268.48,280.75,46.6,722.8,618.09,104.71,1794.99,822.81,4.94,656.69,351.21,153.87,574.01,21734.83,222.62,21957.45
2014,Q3,5450.75,4926.15,379.39,49.97,95.24,5464.58,2352.35,2328.26,0.87,0.94,22.28,2242.77,115.33,153.47,1107.51,448.49,60.37,15.44,41.63,66.66,56.81,1.5,49.42,16.9,109.24,117.64,24.82,726.99,12017.82,3981.64,220.21,307.17,257.54,0.05,2.33,22.38,19.15,5.72,2180.07,4.93,235.69,240.86,41.26,663.23,578.91,84.33,1946.07,898.42,5.22,629.18,472.17,155.53,517.64,22933.14,299.68,23232.82
2014,Q4,5342.62,4712.75,457.45,59,113.43,5313.29,2071.64,2042.84,1.92,0.58,26.31,2205.21,78.21,159.74,1086.68,461.98,61.56,15.87,40.21,65.84,57.13,1.52,53.08,16.69,106.7,180.09,19.74,836.62,13549.95,4291.34,244.37,339.55,286.35,0.09,1.65,24.15,20.08,7.22,2422.3,5.43,259.36,324.84,45.48,697.14,603.94,93.21,2250.56,944.42,5.26,749.14,593.84,167.87,798.67,24205.86,358.95,24564.82
2014,Annual,18018.61,15812.57,1573.05,207.74,425.25,22213.01,9716.76,9616.49,6.93,4.08,89.26,8685.43,385.82,604.61,4241.78,1815.73,238.55,59.93,154.62,259.28,221.95,5.76,195.76,67.14,434.5,531.95,90.04,3188.82,48812,15704.13,819.78,1197.44,1017.16,0.25,7.15,84.41,63.55,24.92,9588.58,20.98,1008.18,1134.85,176.99,2791.39,2426.65,364.74,7475.54,3401.55,19.72,2644.23,1804.4,615.03,2573.21,89043.62,1093.37,90136.98
2015,Q1,3738.86,3141.32,420.99,51.58,124.96,4575.75,1418.29,1391.09,2.44,1.3,23.46,2140.89,41.5,180.79,1010.46,457.22,63.47,15.48,42.41,80.48,67.13,1.43,49.49,18.31,112.72,114.09,23.45,879.04,12727.09,4225.95,267.98,265.58,227.45,0.03,1.26,20.6,9.86,6.39,2509.76,6.36,314.13,390.57,55.62,836.36,742.42,93.94,1639.32,852.4,4.91,577.33,444.95,151.25,895.67,21041.7,200.84,21242.54
2015,Q2,4088.64,3511.3,400.92,56.57,119.84,4999.55,1771.88,1746.4,2.44,1.51,21.53,2124.51,35.24,184.27,1010.66,456.77,64.3,16.17,48.42,76.23,65.41,1.43,50.04,17.1,98.48,116.41,30.6,956.15,13770.96,4312.54,156.5,348.99,300.1,0.09,2.32,21.76,17.67,7.04,3175.25,6.76,287.18,376.35,54.3,837.88,718.05,119.83,1986.89,946.76,5.55,639.28,408.55,170.86,727.61,22859.15,221.76,23080.91
2015,Q3,5959.47,5383.13,418.85,52.32,105.17,4832.38,1565.85,1539.68,0.97,1.02,24.18,2350.34,101.95,189.06,1129.38,466.75,65.26,17.14,49.76,81.07,67.66,1.56,52.45,17.81,110.5,121.71,28.66,765.82,13521.79,4565.94,222.36,349.85,294.29,0.06,2.63,24.62,21.94,6.31,2406.99,5.7,256.82,302.61,47.97,772.62,675.69,96.93,2124.67,1035,5.86,599.91,558.7,173.2,658.71,24313.64,314.12,24627.75
2015,Q4,5850,5154.22,507.26,62.35,126.17,4780.89,1343.98,1313.24,2.14,0.62,27.98,2358.03,69.33,195.8,1141.03,490.84,66.23,17.3,49.55,77.82,66.96,1.6,55.33,16.85,109.41,184.47,23.16,871.25,15299.58,4924.47,246.83,396.64,334.45,0.11,1.86,28.76,23.48,7.99,2689.08,6.32,278.57,402.1,52.52,813.64,706.23,107.41,2436.67,1093.13,5.93,735.93,704.15,187.38,1013.22,25930.47,296.06,26226.53
2015,Annual,19636.97,17189.97,1748.03,222.83,476.14,19188.58,6100.01,5990.42,7.98,4.46,97.15,8973.77,248.02,749.93,4291.52,1871.58,259.26,66.09,190.13,315.6,267.16,6.02,207.3,70.06,431.11,536.67,105.87,3472.26,55319.41,18028.9,893.67,1361.07,1156.29,0.28,8.07,95.74,72.95,27.73,10781.08,25.14,1136.69,1471.63,210.42,3260.5,2842.39,418.11,8187.55,3927.3,22.25,2552.45,2116.35,682.7,3295.2,94144.96,1032.78,95177.74
2016,Q1,4267.89,3583.98,464.97,53.49,165.45,3968.69,894.88,887.49,2.61,2.12,2.65,2077.04,33.89,150.19,963.39,467.48,66.38,16.11,46.28,88.69,73.24,1.47,51.09,15.11,103.72,81.61,26.11,889.06,13998.73,4796.79,270.16,345.73,303.51,0.03,1.38,22.19,11.27,7.35,2728.03,7.42,326.91,457.76,66.14,825.59,717.34,108.25,1649.39,939.62,5.42,614.13,515.98,165.05,1076.7,22235.32,200.15,22435.46
2016,Q2,4629.86,4017.08,437.83,59.79,115.16,4233.41,986.63,959.56,2.47,1.65,22.95,2102.86,56.27,154,989.8,465.1,66.66,16.5,50.38,80.88,69.02,1.45,52.1,12.86,87.85,111.45,40.3,992.16,14684.2,4969.3,156.59,370.58,321.49,0.1,2.54,19.47,19.34,7.64,2963.87,7.74,296.73,445.32,60.25,861.34,718.08,143.26,2029.08,1040.12,6.14,691.75,473.77,186.45,874.98,23547.47,189.83,23737.3
2016,Q3,6398.46,5801.03,433.4,54.68,109.36,4866.47,1633.05,1602.72,0.98,1.2,28.16,2281.44,108.54,161.66,1028.34,519.54,67.65,18.35,49.43,87.44,72.76,1.58,54.9,12.68,98.57,126.54,38.1,787.34,15272.72,5267.42,228.42,418.74,358.72,0.06,2.9,25.81,24.39,6.85,2629.8,6.91,273.59,355.69,54.11,932.15,816.82,115.33,2179.12,1233.52,6.89,679.96,646.1,191.16,805.31,26537.65,333.36,26871.01
2016,Q4,6227.3,5480.99,539.58,68.3,138.43,5572.6,1954.99,1917.55,2.44,0.77,34.22,2441.89,77.9,183.75,1120.14,574.89,74.41,19.76,51.63,87.08,76.43,1.7,61.48,12.14,100.58,205.08,32.63,938.01,17369.16,5642.35,269.89,438.47,374.97,0.12,2.1,27.03,27.25,7.01,3157.79,7.75,302.75,461.54,58.88,974.25,847.63,126.62,2482.84,1294.5,7.08,797.99,810.11,202.92,1232.1,29169.06,362.59,29531.65
2016,Annual,21523.51,18883.08,1875.78,236.25,528.39,18641.17,5469.55,5367.32,8.49,5.74,87.99,8903.24,276.59,649.6,4101.67,2027.01,275.1,70.71,197.73,344.09,291.44,6.2,219.57,52.79,390.72,524.68,137.15,3606.56,61324.81,20675.86,925.06,1573.52,1358.68,0.31,8.92,94.5,82.25,28.86,11479.5,29.82,1199.98,1720.3,239.38,3593.33,3099.87,493.45,8340.43,4507.76,25.52,2783.83,2445.95,745.58,3989.09,101489.49,1085.93,102575.42
2017,Q1,4686.22,3969.52,487.87,58.24,170.59,5767.04,2153.73,2141.96,3.11,3.49,5.16,2422.5,38.6,207.46,1100.5,565.54,78.83,20.43,51.56,103.8,80.46,1.18,56.22,14.41,103.51,74.08,38.74,1077.99,15575.09,5256.55,280.47,443.59,396.62,0.04,1.54,25.49,11.88,8.03,2974.67,8.13,366.11,507.14,80.34,939.75,815.97,123.77,1823.65,1078.13,6.2,680.04,587.79,186.24,1237.68,26028.36,200.5,26228.85
2017,Q2,5210.15,4530.13,474.21,66.98,138.82,6284.63,2455.64,2420.35,3,1.9,30.39,2438.59,67.41,202.37,1124.77,545.75,71.98,20.2,57.46,102.82,80.23,1.69,59.32,15.76,88.86,177.27,46.68,1166.45,15535.47,5208.66,166.11,378.61,330.36,0.11,2.69,21.91,20.94,2.6,3042.61,8.7,300.07,497.32,63.43,1013.59,855.19,158.4,2154.26,1089.09,6.43,749,514,195.76,953.94,27030.25,236.14,27266.39
2017,Q3,7198.21,6536.58,465.64,60.62,135.36,6852.06,3214.62,3176.46,0.67,1.47,36.03,2516.86,63.14,207.72,1135.9,590.96,75.47,21.89,57.19,107.45,81.95,1.86,61.16,13.65,98.53,159.29,42.56,918.73,15327.4,5290.49,248.4,421.16,360.77,0.07,3.01,28.17,25.35,3.79,2559.9,7.34,275.22,372.23,55.98,895.97,780.28,115.69,2213.79,1243.45,7.09,690,667.85,196,837.31,29377.67,378.34,29756.01
2017,Q4,6857.98,6059.88,546.72,71.37,180.01,6736.17,2657.98,2617.17,2.65,1.08,37.08,2666.53,42.69,228.81,1207.66,642.55,78.85,23.68,58.91,104.18,84.59,1.9,66.68,16.48,109.53,257.29,35.77,1118.61,17681.21,5818.03,289.22,544.13,477.07,0.12,2.19,30.29,28.25,6.21,3140.38,8.06,307.7,501.42,61.33,986.47,878.65,107.82,2399.84,1316.13,7.31,802.55,821.22,206.8,1287.78,31275.35,372.64,31647.99
2017,Annual,23952.55,21096.11,1974.45,257.21,624.79,25639.9,10481.97,10355.95,9.44,7.93,108.66,10044.48,211.84,846.35,4568.84,2344.8,305.13,86.19,225.13,418.24,327.23,6.63,243.38,60.3,400.43,667.92,163.75,4281.78,64119.18,21573.73,984.2,1787.49,1564.81,0.33,9.43,105.86,86.43,20.63,11717.56,32.23,1249.11,1878.1,261.09,3835.78,3330.09,505.69,8591.54,4726.8,27.03,2921.59,2590.86,784.8,4316.71,113711.63,1187.62,114899.25
2018,Q1,4957.86,4201.16,479.99,60.02,216.69,7877.6,3937.56,3921.29,3.28,5.23,7.76,2638.82,41.55,251.81,1193.62,610.64,82.19,23.77,55.23,110.21,84,1.4,58.82,19.64,105.94,81.15,45.46,1174.61,15603.15,5144.98,291.13,526.69,475.45,0.04,1.58,29.23,12.1,8.3,3027.93,9.36,367.47,512.28,80.67,1069.64,922.83,146.8,1670.92,1057.58,6.2,671.4,597.24,187.57,1271.2,28438.6,244.34,28682.95
2018,Q2,5764.58,5040.54,481.75,70.01,172.29,8661.57,3781.73,3728.99,3.2,2.26,47.29,2914.51,54.3,304.03,1269.94,681.23,81.68,29.58,68.12,141.04,93.64,2.2,65.19,27.61,95.94,222.46,62.18,1680.69,16273.41,5208.24,193.62,524.6,466.02,0.11,2.85,31.45,21.04,3.13,3443.24,9.1,294.81,609.66,65.99,1048.92,880.9,168.02,2176.48,1135.85,6.35,725.47,537.21,206.19,1001.26,30699.57,255.73,30955.3
2018,Q3,8516.63,7761.4,495.61,65.26,194.36,8560.74,3521.38,3452.49,0.78,2.05,66.07,3340.58,55.49,386.99,1394.54,799.45,90.94,35.61,77.18,168.8,103.4,2.7,75.62,29.32,120.57,239.67,56.45,1402.66,16290.68,5490.4,300.29,553.96,479.05,0.07,3.14,42.03,26.62,3.05,2903.03,7.76,275.89,389.86,57.97,876.55,756.43,120.12,2294.97,1302.5,7.44,702.38,709.27,206.83,885.09,33368.05,412.98,33781.03
2018,Q4,8132.22,7204.7,591.26,77.49,258.76,8118.42,2407.99,2321.11,2.53,1.37,82.99,3561.62,59.33,402.92,1474.26,874.36,95.55,39.63,79.4,170.16,108.8,2.71,82.68,37.45,134.37,328.27,47.43,1773.11,18979.96,6074.83,359.34,723.11,638.42,0.13,2.28,46.65,29.24,6.39,3605.67,8.51,312.01,515.85,64.44,1001.65,888.84,112.81,2490.45,1366.57,7.62,826.84,890.81,221.1,1347.54,35230.61,437.03,35667.63
2018,Annual,27371.3,24207.8,2048.6,272.79,842.11,33218.33,13648.66,13423.87,9.78,10.9,204.1,12455.53,210.66,1345.75,5332.36,2965.69,350.36,128.59,279.93,590.22,389.83,9.01,282.31,114.02,456.82,871.55,211.52,6031.06,67147.2,21918.44,1144.37,2328.37,2058.94,0.34,9.86,149.35,89.01,20.87,12979.87,34.73,1250.18,2027.65,269.08,3996.76,3449,547.75,8632.82,4862.49,27.59,2926.09,2734.53,821.69,4505.11,127736.83,1350.08,129086.91
2019,Q1,6077.2,5174.39,514.93,65.98,321.9,8916.94,3176.73,3148.35,5.16,4.79,18.43,3600.6,21.92,469.99,1469.65,858.94,100.01,41.24,77.16,190.18,112,2.09,75.45,54.39,127.57,114.71,63.48,1961.42,16830.21,5392.76,379.31,792.09,728.47,0.04,1.63,40.88,12.6,8.46,3374.48,9.55,375.33,529.41,87.28,1027.28,870.77,156.51,1842.55,1118.24,6.53,598.65,654.82,203.89,1352.33,31824.35,261.77,32086.12
2019,Q2,6788.6,5947.45,500.68,77.86,262.6,9946.14,3145.66,3059.67,4.12,2.6,79.27,4015.81,42.65,481.08,1512.87,893.76,106.25,48.42,134.5,220.42,196.79,4.42,133.6,32.69,208.36,288.65,95.96,2400.06,18267.14,5365.91,232.68,658.67,592.3,0.11,2.89,36.43,22.57,4.37,4839.2,10.58,328.3,717.67,75.89,1059.16,877.84,181.32,2221.91,1187.34,6.69,723.87,596.8,238.5,1060.53,35001.88,299.08,35300.95
2019,Q3,9783.54,8963.2,497.42,66.57,256.35,10830.87,3732.09,3624.33,1.12,2.23,104.41,4666.59,38.76,652.1,1674.42,1053.41,118.77,58.78,148.53,266.76,206.67,5.17,145.85,43.76,253.6,270.42,74.63,2087.14,17192.51,5552.62,358.63,767.79,676.24,0.08,3.24,57.56,27.61,3.06,3227.86,8.1,280.58,396.31,60.04,909.14,780.99,128.15,2380.18,1301.7,7.86,725.17,762.89,220.95,917.68,37806.92,415.41,38222.34
2019,Q4,9254.79,8211.88,595.91,75.46,371.54,10185.75,2714.94,2568.07,2.51,1.52,142.83,4498.07,45.45,638.25,1725.66,1115.76,108.39,57.78,100.25,249.87,132.72,3.61,97.78,68.13,154.42,364,60.47,2548.27,20136.8,6197.98,428.07,834.03,730.52,0.13,2.37,63.75,30.74,6.51,3961.25,8.9,316.63,530.54,68.01,1235.35,1115.86,119.49,2552.96,1410.19,7.91,849.06,954.81,232.86,1404.32,39577.34,452.38,40029.72
2019,Annual,31904.14,28296.93,2108.95,285.88,1212.39,39879.69,12769.42,12400.43,12.91,11.14,344.95,16781.06,148.79,2241.42,6382.61,3921.87,433.42,206.21,460.44,927.24,648.17,15.3,452.67,198.97,743.95,1037.77,294.53,8996.9,72426.66,22509.26,1398.7,3052.57,2727.53,0.36,10.12,198.62,93.53,22.41,15402.79,37.12,1300.83,2173.93,291.21,4230.92,3645.46,585.47,8997.6,5017.46,29,2896.76,2969.32,896.19,4734.86,144210.49,1428.65,145639.14
2020,Q1,7442.68,6410.65,509.55,64.11,458.37,10509.18,2841.04,2827.16,3.31,5.21,5.35,4625.85,10.67,756.7,1733.82,1096.26,114.78,62.06,97.08,272.21,134.48,2.72,89.8,111.6,143.67,134.8,78.03,2829.46,17695.55,5378,429.65,953.99,879.85,0.04,1.66,51.35,12.59,8.5,3676.01,9.68,379.05,542.55,89.2,1273.43,1108.1,165.33,1863.24,1143.13,6.58,560.76,700.85,218.23,1402.48,35647.41,322.5,35969.9
2020,Q2,8139.52,7198.35,503.34,75.5,362.34,9402.78,2641.66,2520,4.89,2.6,114.17,4010.35,14.22,593.12,1620.83,888.36,94.83,47.35,109.25,225.9,120.11,2.81,81.29,104.11,108.18,313.59,114.01,2323.18,16480.9,4563.93,162.51,384.47,338.32,0.04,2.09,21.27,19.55,3.19,4783.34,7.98,278.22,693.53,61.39,1279.7,1149.42,130.28,1840.11,1024.07,6.66,752.98,464.99,238.34,918.42,34023.2,313.7,34336.9
2020,Q3,11105.99,10192.22,509.95,69.16,334.67,11472.1,2988.6,2782.38,1.09,2.19,202.94,5298.68,12.58,1039.65,1897.04,1028.01,115,64.39,164.5,297.47,193.43,4.15,139.53,119.78,223.13,270.4,86.41,2828.01,16511.37,5007.44,324.08,498.61,423.86,0.04,2.73,41.83,27.01,3.14,3741.43,7.73,286.99,411.83,57.62,962.91,855.95,106.96,2188.25,1198.11,7.97,770.8,642.71,240.62,870.83,39089.46,625.26,39714.72
2020,Q4,10553.42,9376.33,598.54,76.02,502.54,12146.73,2380.48,2066.09,2.19,1.56,310.64,5604.68,20.39,1053.78,1988.75,1294.33,118.97,81.4,124.43,326.54,157.72,4.18,110.51,154.17,169.52,426.85,75.9,3658.82,20863.86,6157.02,424.7,802.7,726.85,0.12,2.12,36.61,30.3,6.71,4607.86,8.78,326.73,557.64,67.42,1221.78,1116.7,105.08,2786.54,1368.53,7.69,887.04,898.88,254.15,1379.55,43564.01,666.79,44230.8
2020,Annual,37241.61,33177.54,2121.37,284.79,1657.91,43530.78,10851.77,10195.63,11.48,11.56,633.1,19539.55,57.86,3443.25,7240.43,4306.95,443.58,255.2,495.26,1122.12,605.75,13.86,421.13,489.66,644.49,1145.64,354.35,11639.48,71551.68,21106.38,1340.93,2639.77,2368.88,0.24,8.6,151.05,89.46,21.54,16808.64,34.18,1270.99,2205.54,275.63,4737.83,4230.17,507.66,8678.13,4733.83,28.9,2971.59,2707.44,951.34,4571.27,152324.07,1928.25,154252.32
2021,Q1,8569.33,7218.3,613.72,73.33,663.99,13305.52,2837.38,2822.47,3.78,7.61,3.52,6110.65,5.02,1289.28,2068.89,1322.16,127.05,91.34,126.2,406.28,162.12,3.42,103.92,234.06,170.91,176.18,110.27,4071.04,18139.64,5385.01,478.59,865.75,788.04,0.04,1.58,53.84,12.7,9.55,3965,9.67,390,559.52,88.78,1300.8,1138.9,161.9,2013.07,1128.11,6.7,570.39,698.77,241.88,1396.78,40014.48,493.2,40507.69
